order_id,customer_id,product_id,quantity,order_timestamp,payment_method,status,shipping_city,order_value,month
1,4,41,1,2025-11-17T07:17:09Z,Wallet,Completed,Akola,38166.75,2025-11
13,99,3,2,2025-11-17T07:17:09Z,Upi,Delivered,Bardhaman,53194.18,2025-11
12,74,40,3,2025-11-17T07:17:09Z,Debit Card,Cancelled,Ujjain,43948.17,2025-11
11,71,25,1,2025-11-17T07:17:09Z,Upi,Shipped,Gorakhpur,36283.48,2025-11
9,46,25,1,2025-11-17T07:17:09Z,Upi,Pending,Guntur,36283.48,2025-11
8,98,10,2,2025-11-17T07:17:09Z,Upi,Completed,Malda,18717.66,2025-11
10,69,3,4,2025-11-17T07:17:09Z,Credit Card,Delivered,Darbhanga,106388.36,2025-11
6,58,27,2,2025-11-17T07:17:09Z,Cash On Delivery,Completed,Bihar Sharif,102350.1,2025-11
5,92,36,2,2025-11-17T07:17:09Z,Wallet,Cancelled,Agra,39944.14,2025-11
4,30,6,2,2025-11-17T07:17:09Z,Cash On Delivery,Pending,Gaya,126998.18,2025-11
3,76,35,1,2025-11-17T07:17:09Z,Net Banking,Completed,Sikar,52641.9,2025-11
2,95,15,2,2025-11-17T07:17:09Z,Credit Card,Cancelled,Belgaum,123226.46,2025-11
7,90,1,2,2025-11-17T07:17:09Z,Net Banking,Completed,Thanjavur,22991.82,2025-11
61,7,21,1,2025-11-17T07:17:09Z,Cash On Delivery,Completed,Coimbatore,19998.48,2025-11
66,67,38,5,2025-11-17T07:17:09Z,Upi,Delivered,Sultan Pur Majra,340463.3,2025-11
65,80,39,1,2025-11-17T07:17:09Z,Credit Card,Completed,Dindigul,10134.53,2025-11
64,16,16,4,2025-11-17T07:17:09Z,Cash On Delivery,Completed,Bhavnagar,219752.2,2025-11
63,77,12,1,2025-11-17T07:17:09Z,Credit Card,Cancelled,Alappuzha,33024.45,2025-11
62,8,34,2,2025-11-17T07:17:09Z,Cash On Delivery,Completed,Patna,105472.72,2025-11
60,95,4,5,2025-11-17T07:17:09Z,Cash On Delivery,Completed,Hosur,278901.1,2025-11
53,24,9,4,2025-11-17T07:17:09Z,Upi,Completed,Karaikudi,308084.0,2025-11
58,55,30,3,2025-11-17T07:17:09Z,Wallet,Delivered,Ranchi,247001.76,2025-11
57,1,11,4,2025-11-17T07:17:09Z,Net Banking,Completed,Adoni,163879.6,2025-11
56,28,32,4,2025-11-17T07:17:09Z,Net Banking,Delivered,Delhi,89685.96,2025-11
55,12,35,1,2025-11-17T07:17:09Z,Debit Card,Completed,Tenali,52641.9,2025-11
54,71,5,4,2025-11-17T07:17:09Z,Credit Card,Completed,Aizawl,130950.64,2025-11
67,31,14,3,2025-11-17T07:17:09Z,Upi,Completed,Gandhinagar,72740.73,2025-11
52,25,7,2,2025-11-17T07:17:09Z,Debit Card,Pending,Sirsa,119228.64,2025-11
59,20,36,4,2025-11-17T07:17:09Z,Debit Card,Completed,Hapur,79888.28,2025-11
68,59,43,3,2025-11-17T07:17:09Z,Upi,Delivered,Panvel,268953.27,2025-11
75,20,7,5,2025-11-17T07:17:09Z,Upi,Completed,Katihar,298071.6,2025-11
70,69,7,1,2025-11-17T07:17:09Z,Debit Card,Pending,Mangalore,59614.32,2025-11
86,96,27,5,2025-11-17T07:17:09Z,Debit Card,Delivered,Sambalpur,255875.25,2025-11
85,46,16,1,2025-11-17T07:17:09Z,Cash On Delivery,Shipped,Amroha,54938.05,2025-11
84,6,20,3,2025-11-17T07:17:09Z,Upi,Completed,Hindupur,173120.94,2025-11
83,19,38,5,2025-11-17T07:17:09Z,Net Banking,Completed,Jabalpur,340463.3,2025-11
82,70,45,2,2025-11-17T07:17:09Z,Credit Card,Shipped,New Delhi,155021.88,2025-11
81,2,28,5,2025-11-17T07:17:09Z,Credit Card,Completed,Srikakulam,142628.05,2025-11
80,95,17,2,2025-11-17T07:17:09Z,Net Banking,Pending,Patna,96422.7,2025-11
